RUB,CB6F,BallBerry0
0.0,0.0,0.0
0.0,0.0,0.3333333333333333
0.0,0.0,0.6666666666666666
0.0,0.0,1.0
40.0,0.0,0.0
40.0,0.0,0.3333333333333333
40.0,0.0,0.6666666666666666
40.0,0.0,1.0
80.0,0.0,0.0
80.0,0.0,0.3333333333333333
80.0,0.0,0.6666666666666666
80.0,0.0,1.0
120.0,0.0,0.0
120.0,0.0,0.3333333333333333
120.0,0.0,0.6666666666666666
120.0,0.0,1.0
0.0,50.0,0.0
0.0,50.0,0.3333333333333333
0.0,50.0,0.6666666666666666
0.0,50.0,1.0
40.0,50.0,0.0
40.0,50.0,0.3333333333333333
40.0,50.0,0.6666666666666666
40.0,50.0,1.0
80.0,50.0,0.0
80.0,50.0,0.3333333333333333
80.0,50.0,0.6666666666666666
80.0,50.0,1.0
120.0,50.0,0.0
120.0,50.0,0.3333333333333333
120.0,50.0,0.6666666666666666
120.0,50.0,1.0
0.0,100.0,0.0
0.0,100.0,0.3333333333333333
0.0,100.0,0.6666666666666666
0.0,100.0,1.0
40.0,100.0,0.0
40.0,100.0,0.3333333333333333
40.0,100.0,0.6666666666666666
40.0,100.0,1.0
80.0,100.0,0.0
80.0,100.0,0.3333333333333333
80.0,100.0,0.6666666666666666
80.0,100.0,1.0
120.0,100.0,0.0
120.0,100.0,0.3333333333333333
120.0,100.0,0.6666666666666666
120.0,100.0,1.0
0.0,150.0,0.0
0.0,150.0,0.3333333333333333
0.0,150.0,0.6666666666666666
0.0,150.0,1.0
40.0,150.0,0.0
40.0,150.0,0.3333333333333333
40.0,150.0,0.6666666666666666
40.0,150.0,1.0
80.0,150.0,0.0
80.0,150.0,0.3333333333333333
80.0,150.0,0.6666666666666666
80.0,150.0,1.0
120.0,150.0,0.0
120.0,150.0,0.3333333333333333
120.0,150.0,0.6666666666666666
120.0,150.0,1.0
