year,month,day,hour,doy,nee,nee_gf,gpp,gpp_gf,sif
2019,1,5,17.25,5,,0.37331,,-0.0658445,
2019,1,5,18.25,5,,0.378745,,-0.076409,
2019,1,5,19.25,5,,0.37568,,-0.07603,
2019,1,5,20.25,5,,0.411395,,-0.10311,
2019,1,5,21.25,5,,0.428635,,-0.12237,
2019,1,5,22.25,5,,0.41338,,-0.11569,
2019,1,5,23.25,5,,0.36682,,-0.077365,
2019,1,6,0.25,6,,0.355645,,-0.0631665,
2019,1,6,1.25,6,,0.36417,,-0.064803,
2019,1,6,2.25,6,,0.317735,,-0.010538,
2019,1,6,3.25,6,,0.37346,,-0.0581515,
2019,1,6,4.25,6,,0.371735,,-0.050706,
2019,1,6,5.25,6,,0.37545,,-0.0490655,
2019,1,6,6.25,6,,0.358355,,-0.0255865,
2019,1,6,7.25,6,,0.35201,,-0.0180263,
2019,1,6,8.25,6,,0.34349,,-0.016461,
2019,1,6,9.25,6,,0.33331,,-0.0026049,
2019,1,6,10.25,6,,0.330885,,0.0114927,
2019,1,6,11.25,6,,0.32787,,0.0224005,0.015086061
2019,1,6,12.25,6,,0.31985,,0.046977,0.023705559
2019,1,6,13.25,6,,0.314665,,0.058092,0.020238467
2019,1,6,14.25,6,,0.332295,,0.047009,0.017516238
2019,1,6,15.25,6,,0.33195,,0.0582105,0.021070526
2019,1,6,16.25,6,,0.33125,,0.067557,
2019,1,6,17.25,6,,0.353195,,0.0509075,
2019,1,6,18.25,6,,0.365795,,0.0434315,
2019,1,6,19.25,6,,0.37803,,0.0380085,
2019,1,6,20.25,6,,0.38523,,0.036303,
2019,1,6,21.25,6,,0.393585,,0.0252565,
2019,1,6,22.25,6,,0.389485,,0.0254305,
2019,1,6,23.25,6,,0.366785,,0.0446085,
2019,1,7,0.25,7,,0.365085,,0.044114,
2019,1,7,1.25,7,,0.35211,,0.056236,
2019,1,7,2.25,7,,0.354675,,0.055161,
2019,1,7,3.25,7,,0.361815,,0.048389,
2019,1,7,4.25,7,,0.373845,,0.0398725,
2019,1,7,5.25,7,,0.377075,,0.0397225,
2019,1,7,6.25,7,,0.370275,,0.048862,
2019,1,7,7.25,7,,0.402145,,0.0124315,
2019,1,7,8.25,7,,0.33842,,0.0653115,
2019,1,7,9.25,7,,0.330195,,0.0707315,
2019,1,7,10.25,7,,0.324595,,0.0773595,
2019,1,7,11.25,7,,0.320395,,0.0766115,0.01940685
2019,1,7,12.25,7,,0.316875,,0.066555,0.020304372
2019,1,7,13.25,7,,0.314685,,0.049205,0.011400305
2019,1,7,14.25,7,,0.333785,,0.0176035,0.040808025
2019,1,7,15.25,7,,0.326065,,0.0187365,0.008882984
2019,1,7,16.25,7,,0.38258,,-0.039564,
2019,1,7,17.25,7,,0.378875,,-0.0376945,
2019,1,7,18.25,7,,0.3743,,-0.0380735,
2019,1,7,19.25,7,,0.378985,,-0.048042,
