year,month,day,hour,doy,index,tto,tts,psi,LST_Day_1km,Emis_31,Emis_32
2021,3,9,11,68,1619.0,53.0,52.98955553901554,108.42008207281592,6.470000000000027,0.992,0.99
2021,3,13,11,72,1715.0,29.0,51.48589690704091,131.7417227237395,5.830000000000041,0.988,0.986
2021,3,20,11,79,1883.0,37.0,48.83037711718486,122.47083808965823,6.7900000000000205,0.984,0.984
2021,3,21,10,80,1906.0,-43.0,53.620281211875515,184.12285768665177,1.3900000000000432,0.986,0.986
2021,3,22,11,81,1931.0,21.0,48.07057442490838,138.08869652790622,8.770000000000039,0.984,0.984
2021,3,29,11,88,2099.0,29.0,45.427029002461204,128.68784914732,5.250000000000057,0.984,0.984
2021,4,6,10,96,2290.0,-43.0,48.25419966350872,179.57444940244298,16.230000000000018,0.984,0.984
2021,4,7,11,97,2315.0,20.0,42.11367230178992,135.75392591843055,13.450000000000045,0.986,0.986
2021,4,18,11,108,2579.0,-9.0,38.30371629692593,162.22754440402255,13.970000000000027,0.986,0.986
2021,4,25,11,115,2747.0,1.0,36.07470871922099,150.56122892886472,8.330000000000041,0.986,0.986
2021,5,5,11,125,2987.0,49.0,33.226532833521254,100.17382464891034,8.230000000000018,0.982,0.982
2021,5,9,11,129,3083.0,21.0,32.21340427917286,127.24057507935234,12.57000000000005,0.986,0.986
2021,5,13,10,133,3178.0,-19.0,38.45458574825283,144.64233777029028,16.250000000000057,0.984,0.984
2021,5,16,11,136,3251.0,29.0,30.63166015912968,117.67812214445254,20.79000000000002,0.986,0.986
2021,5,31,10,151,3610.0,-37.0,35.78095169411216,158.69733157972058,13.07000000000005,0.986,0.986
2021,6,10,11,161,3851.0,21.0,27.1808595268203,121.70956875585193,26.670000000000016,0.986,0.986
2021,6,15,11,166,3971.0,43.0,26.927301549697436,99.38074485061853,20.670000000000016,0.984,0.984
2021,7,5,11,186,4451.0,11.0,27.404687636845512,131.99501605850745,22.77000000000004,0.986,0.984
2021,7,13,10,194,4642.0,-54.0,35.88871158992841,175.8680950127856,21.230000000000018,0.982,0.98
2021,7,18,10,199,4762.0,-37.0,36.49855592621992,159.8144527124866,23.610000000000014,0.986,0.986
2021,7,22,11,203,4859.0,57.0,29.660394522038427,88.64639942479579,19.470000000000027,0.982,0.976
2021,7,24,11,205,4907.0,49.0,30.033135179339347,97.04938121227758,20.450000000000045,0.982,0.984
2021,7,26,11,207,4955.0,37.0,30.427561046798825,109.46618682244818,25.610000000000014,0.986,0.986
2021,7,27,10,208,4978.0,-43.0,37.902328971051425,167.87360111749706,19.53000000000003,0.988,0.986
2021,7,28,11,209,5003.0,21.0,30.843326598337,125.89529788481084,24.890000000000043,0.986,0.984
2021,7,30,11,211,5051.0,1.0,31.280055307878484,146.3352296198366,20.010000000000048,0.986,0.986
2021,7,31,11,212,5075.0,53.0,31.506154616584617,94.55880072180267,21.77000000000004,0.982,0.98
2021,8,1,10,213,5098.0,-20.0,38.84757148300173,146.17632251601935,16.690000000000055,0.986,0.986
2021,8,3,10,215,5146.0,-37.0,39.257635605927845,163.72248175554193,22.230000000000018,0.986,0.984
2021,8,11,11,223,5339.0,37.0,34.3156184027286,113.12514749009236,21.57000000000005,0.986,0.986
2021,8,18,11,230,5507.0,43.0,36.38390570309764,108.80200577219267,24.53000000000003,0.986,0.984
2021,8,19,10,231,5530.0,-37.0,43.14654430607691,168.41978101034593,23.29000000000002,0.986,0.986
2021,8,21,10,233,5578.0,-49.0,43.701910319003474,181.02925694756826,21.470000000000027,0.984,0.982
2021,8,23,10,235,5626.0,-59.0,44.2708794573361,191.63995581295114,22.410000000000025,0.982,0.978
2021,8,28,10,240,5746.0,-43.0,45.74872204765879,177.16571861783765,17.05000000000001,0.984,0.984
2021,9,5,11,248,5939.0,29.0,42.476810622036304,126.97670512827364,16.170000000000016,0.986,0.986
2021,9,9,10,252,6034.0,-10.0,49.56306912836721,147.75431561784887,16.53000000000003,0.984,0.984
2021,9,10,11,253,6059.0,49.0,44.31052924217166,108.06000630894707,17.370000000000005,0.984,0.982
2021,9,25,10,268,6418.0,-9.0,54.99874726334607,151.1803715425329,12.250000000000057,0.986,0.986
2021,10,2,11,275,6587.0,1.0,52.61721798640685,160.25472861097967,20.390000000000043,0.986,0.986
2021,10,5,11,278,6659.0,43.0,53.73663184301815,118.74681449196203,16.79000000000002,0.984,0.984
2021,10,11,10,284,6802.0,-9.0,60.43687994937397,154.99695412264106,8.650000000000034,0.986,0.986
2021,10,16,11,289,6923.0,21.0,57.706873484313505,142.3776921273435,8.990000000000009,0.986,0.984
2021,11,15,11,319,7643.0,37.0,66.49849286261869,129.44832538513376,-1.4099999999999682,0.986,0.986
2021,11,17,11,321,7691.0,21.0,66.93504560705661,145.58390222310945,1.0900000000000318,0.986,0.986
2021,11,26,11,330,7907.0,11.0,68.61600773733709,156.0924808627178,-8.089999999999975,0.986,0.984
2021,12,7,10,341,8170.0,-19.0,73.473467891798,172.40144629865898,-17.94999999999996,0.994,0.99
2021,12,12,11,346,8291.0,11.0,70.36454596655351,156.59956765462448,-3.5299999999999727,0.988,0.988
2021,12,26,11,360,8627.0,29.0,70.50551314083788,138.63950406148757,-7.449999999999989,0.984,0.984
2021,12,29,11,363,8699.0,58.0,70.36423310659949,109.59947886601068,-12.309999999999945,0.98,0.98
