         67464470 function calls (67180742 primitive calls) in 4688.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27144 1651.796    0.061 1651.796    0.061 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:155(cal_rtm_sif)
    86196    0.872    0.000   11.895    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\PhotoSynth_Jen.py:15(PhotoSynth_Jen)
  2149140    0.858    0.000    4.286    0.000 <__array_function__ internals>:2(copy)
   255617    0.779    0.000    0.779    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\resistance.py:92(calc_R_x_Choudhury)
  1348261    0.749    0.000    0.749    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\Ebal_funcs.py:45(calc_lambda)
   255617    0.737    0.000    2.234    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\resistance.py:33(calc_u_star)
    53363    0.715    0.000    0.715    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_Optical.py:290(define_geometric_constant)
   681940    0.687    0.000    3.775    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:1034(_get_value)
    86196    0.622    0.000    1.047    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\PhotoSynth_Jen.py:123(calc_ETR)
   255617    0.584    0.000    4.385    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\resistance.py:63(calc_u_C_star)
   681955    0.569    0.000    1.836    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3317(get_loc)
   410132    0.559    0.000    1.913    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
   140361    0.541    0.000    0.541    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_initial.py:618(CIxy)
   226200    0.523    0.000    0.523    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:193(_assert_stacked_2d)
   255617    0.523    0.000    8.829    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\resistance.py:172(resistance)
   226200    0.521    0.000    0.521    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:199(_assert_stacked_square)
    17544    0.504    0.000   11.234    0.001 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_Optical.py:298(BRF_hemi_func)
  1110188    0.499    0.000    0.499    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:11(CalcStephanBoltzmann)
   681940    0.494    0.000    1.252    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5174(_get_values_for_loc)
   255617    0.489    0.000    0.629    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\Ebal.py:26(Monin_Obukhov)
  1690848    0.481    0.000    0.481    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:282(tupleset)
    99528    0.448    0.000    0.785    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:135(_commonType)
   126672    0.445    0.000  870.570    0.007 <__array_function__ internals>:2(matrix_power)
   107457    0.440    0.000    0.440    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
    81432    0.431    0.000    0.473    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_methods.py:65(_count_reduce_items)
   681955    0.421    0.000    0.965    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5695(_maybe_cast_indexer)
    81432    0.415    0.000    8.768    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_methods.py:161(_mean)
  2149140    0.400    0.000    2.457    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:715(copy)
   255617    0.389    0.000    0.485    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\hydraulics.py:10(calc_beta_e)
    17545    0.389    0.000    0.389    0.000 {built-in method builtins.sum}
    99528    0.381    0.000    0.726    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:107(_makearray)
   735540    0.367    0.000    0.856    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_asarray.py:110(asanyarray)
    17544    0.355    0.000   10.122    0.001 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_Optical.py:349(BRF_dif_func)
    86196    0.355    0.000    6.458    0.000 {built-in method scipy.optimize._zeros._brentq}
   980628    0.342    0.000    0.342    0.000 {built-in method builtins.min}
    86196    0.328    0.000    0.511    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\PhotoSynth_Jen.py:300(peaked_arrh)
    99528    0.311    0.000  385.287    0.004 <__array_function__ internals>:2(inv)
        1    0.308    0.308 4672.671 4672.671 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\model.py:179(mod_list)
   681955    0.303    0.000    0.303    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
   269778    0.294    0.000    1.523    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2111(sum)
  1438220    0.293    0.000    0.293    0.000 {built-in method builtins.abs}
   680139    0.289    0.000    0.289    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   682680    0.284    0.000    0.696    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:674(_values)
   682680    0.271    0.000    0.411    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1674(internal_values)
    17544    0.264    0.000    0.301    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:426(rtm_t)
   615264    0.252    0.000    0.252    0.000 {built-in method builtins.divmod}
   681955    0.246    0.000    0.246    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:2130(is_floating)
   140352    0.225    0.000    0.419    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:24(atleast_1d)
   681970    0.220    0.000    0.297    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:155(cast_scalar_indexer)
436050/436046    0.219    0.000    0.526    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_asarray.py:23(asarray)
    82163    0.213    0.000    9.051    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:3301(mean)
  1289803    0.204    0.000    0.205    0.000 {built-in method builtins.isinstance}
    99528    0.199    0.000    0.199    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:102(get_linalg_error_extobj)
   140352    0.198    0.000    1.127    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:286(hstack)
   410132    0.197    0.000    0.197    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
  2149140    0.195    0.000    0.195    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:711(_copy_dispatcher)
   269778    0.190    0.000    1.930    0.000 <__array_function__ internals>:2(sum)
   682687    0.188    0.000    0.275    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:346(apply_if_callable)
    17544    0.171    0.000    0.490    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:43(calc_ebal_sunsha)
   246720    0.167    0.000    2.227    0.000 <__array_function__ internals>:2(diff)
   140365    0.164    0.000    0.164    0.000 {built-in method numpy.arange}
        1    0.156    0.156    0.162    0.162 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_initial.py:15(sip_leaf)
    99528    0.152    0.000    0.197    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:125(_realType)
   683429    0.141    0.000    0.141    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1619(_block)
  1367536    0.136    0.000    0.136    0.000 {pandas._libs.lib.is_integer}
   140353    0.135    0.000    0.861    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2617(amax)
    86196    0.131    0.000    6.626    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\optimize\zeros.py:650(brentq)
   198288    0.130    0.000    0.515    0.000 <__array_function__ internals>:2(copyto)
    86196    0.119    0.000    0.493    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\PhotoSynth_Jen.py:256(calc_michaelis_menten_constants)
        1    0.117    0.117    7.546    7.546 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_initial.py:678(dif_initial)
    71658    0.117    0.000    0.383    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:288(full)
    17544    0.116    0.000    0.302    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:37(calc_extinction_coeff)
        1    0.116    0.116    8.489    8.489 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_initial.py:642(hemi_initial)
   125157    0.110    0.000    0.557    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:148(ones)
    86196    0.108    0.000    0.123    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\PhotoSynth_Jen.py:229(esat)
