hidden_dim,n_layer,lookback_periods,batch_size,time
32,4,5,128,367.75079131126404
32,4,7,16,1889.1497819423676
32,4,7,32,1097.6953587532043
32,4,7,64,694.894953250885
32,4,7,128,537.7636156082153
32,8,1,16,575.7440268993378
32,8,1,32,319.49470591545105
32,8,1,64,192.09416246414185
32,8,1,128,144.00881218910217
32,8,3,16,1642.2269613742828
32,8,3,32,913.4726898670197
32,8,3,64,582.3713014125824
32,8,3,128,446.2052049636841
32,8,5,16,2715.2274181842804
32,8,5,32,1773.5594782829285
32,8,5,64,1143.1511478424072
32,8,5,128,852.5513832569122
32,8,7,16,4244.073437213898
32,8,7,32,2553.430302143097
32,8,7,64,1527.4181997776031
32,8,7,128,1172.345717906952
64,1,1,16,92.21860647201538
64,1,1,32,55.9774284362793
64,1,1,64,39.63297986984253
64,1,1,128,30.33618140220642
64,1,3,16,252.3941740989685
64,1,3,32,164.93655490875244
64,1,3,64,115.82680821418762
64,1,3,128,88.61571097373962
64,1,5,16,451.6359910964966
64,1,5,32,273.4663004875183
64,1,5,64,192.48781418800354
64,1,5,128,154.8731689453125
64,1,7,16,599.6999664306641
64,1,7,32,374.3856554031372
64,1,7,64,258.90649032592773
64,1,7,128,202.05595898628235
64,2,1,16,165.41349506378174
64,2,1,32,102.06635451316833
64,2,1,64,72.1429991722107
64,2,1,128,55.10490703582764
64,2,3,16,462.472323179245
64,2,3,32,307.63256072998047
64,2,3,64,210.89487290382385
64,2,3,128,168.80667638778687
64,2,5,16,800.5179119110107
64,2,5,32,514.2696335315704
64,2,5,64,352.51403069496155
64,2,5,128,272.86852645874023
64,2,7,16,1123.3969345092773
64,2,7,32,736.506628036499
64,2,7,64,506.8210816383362
64,2,7,128,411.6561028957367
64,4,1,16,328.9970152378082
64,4,1,32,204.14592862129211
64,4,1,64,142.9565944671631
64,4,1,128,109.09615707397461
64,4,3,16,939.4352474212646
64,4,3,32,619.6775176525116
64,4,3,64,422.68941354751587
64,4,3,128,339.5508978366852
64,4,5,16,1602.1810643672943
64,4,5,32,1021.8651556968689
64,4,5,64,742.6298186779022
64,4,5,128,567.5792782306671
64,4,7,16,2277.259628534317
64,4,7,32,1550.0752453804016
64,4,7,64,1074.5538296699524
64,4,7,128,899.2966961860657
64,8,1,16,725.2892234325409
64,8,1,32,428.13789224624634
64,8,1,64,306.39256834983826
64,8,1,128,250.21570301055908
64,8,3,16,2047.002110004425
64,8,3,32,1281.7072701454163
64,8,3,64,866.9689824581146
64,8,3,128,686.898115158081
64,8,5,16,3256.3781595230103
64,8,5,32,2107.448051214218
64,8,5,64,1511.213922739029
64,8,5,128,1219.2629432678223
64,8,7,16,4523.998393297195
64,8,7,32,3023.102644920349
64,8,7,64,2117.7565326690674
64,8,7,128,1830.9904251098633
