hidden_dim,n_layer,lookback_periods,batch_size,time,GPP_R2,NEE_R2
8,1,1,16,52.39371871948242,0.9188845267040661,0.9176384896801988
8,1,1,32,27.487786531448364,0.8873401765136198,0.8941242579360255
8,1,1,64,21.77920365333557,0.8657543895906097,0.8749547421061636
8,1,1,128,13.195234060287476,0.8698894187914804,0.8790886907171689
8,1,3,16,189.89859819412231,0.9362345788726721,0.9295623180804116
8,1,3,32,98.90844321250916,0.9416697765793207,0.938426187753584
8,1,3,64,54.740548610687256,0.8923630566359694,0.8892096943914687
8,1,3,128,31.976470947265625,0.9149805116895104,0.924174196566919
8,1,5,16,305.62748646736145,0.9471585938298774,0.9456592179131017
8,1,5,32,159.00067567825317,0.9471008799814598,0.9445104098513322
8,1,5,64,93.11840629577635,0.8613666027256653,0.8573406915041806
8,1,5,128,55.53982377052307,0.794762205258726,0.8311788185887212
8,1,7,16,429.0506525039673,0.9486743856949645,0.9459055100852307
8,1,7,32,225.91669750213623,0.9460999072337334,0.9432101476900074
8,1,7,64,129.38569021224976,0.9350922374056481,0.9313670790594227
8,1,7,128,78.94630122184753,0.9047593332391098,0.9136628595574598
8,2,1,16,93.9478268623352,0.9459614591252383,0.9436304694478292
8,2,1,32,48.78859233856201,0.9420158776246295,0.9412651467433967
8,2,1,64,37.276293992996216,0.9398028949219182,0.9337032106729688
8,2,1,128,22.3323016166687,0.9032288754794384,0.9087430462743686
8,2,3,16,361.685097694397,0.954570349353368,0.949154831078851
8,2,3,32,189.8089964389801,0.9402371534286217,0.9371207292170434
8,2,3,64,109.28472423553468,0.9435374791974487,0.9387853476575837
8,2,3,128,61.52902221679688,0.9408397728849115,0.9408768562817407
8,2,5,16,627.5052185058594,0.9583367074101559,0.9510388088333291
8,2,5,32,317.4809145927429,0.9571102143006144,0.9528631220400439
8,2,5,64,192.8526141643524,0.9439871507411544,0.9414244271803802
8,2,5,128,116.46776485443117,0.9334724196252024,0.9370554176606635
8,2,7,16,858.2349543571472,0.9566348048387904,0.9522456915469577
8,2,7,32,449.7873361110687,0.9538499393844445,0.9474391289473212
8,2,7,64,267.1791226863861,0.9520595999609527,0.9506608405537711
8,2,7,128,149.24122023582458,0.9383937065296838,0.9402293450669874
8,4,1,16,181.01582598686215,0.9583113430056281,0.9512499701437138
8,4,1,32,92.97032928466795,0.9479394094011183,0.9484922292358138
8,4,1,64,72.71048212051392,0.9410645270138613,0.9357961807281011
8,4,1,128,42.84237360954285,0.9450677887829194,0.9423930544741181
8,4,3,16,738.0897619724274,0.9626854639614979,0.9563034791485909
8,4,3,32,393.1852967739105,0.9372361607095085,0.9353861359591825
8,4,3,64,214.94145250320437,0.9607900009246859,0.9570984079489716
8,4,3,128,128.0342800617218,0.94989076791353,0.9456657631883443
8,4,5,16,1240.1454286575315,0.954607400747476,0.9421676060965471
8,4,5,32,635.4886100292206,0.9566766946810452,0.9538712430861219
8,4,5,64,359.21555948257446,0.9553478135861525,0.9507593582584608
8,4,5,128,210.57434630393985,0.9493497770398451,0.9459956055196533
8,4,7,16,1756.8488373756409,0.9626991471032023,0.9552093000338733
8,4,7,32,931.720351934433,0.9518541419270669,0.9481674366974957
8,4,7,64,496.2696833610535,0.9523109310968355,0.9517809526321699
8,4,7,128,307.8808608055115,0.9533268783102931,0.949259982226796
8,8,1,16,359.7767388820648,0.9402555908203838,0.9398853657421067
8,8,1,32,187.18534064292908,0.9439902144752033,0.9406563236629029
8,8,1,64,145.8893518447876,0.938485310869401,0.9369771870732077
8,8,1,128,83.81481623649597,0.7588872402611523,0.8061620147508737
8,8,3,16,1477.9558396339417,0.9614048470149683,0.9577822863488485
8,8,3,32,777.4724652767181,0.9610078315904539,0.9555516028641172
8,8,3,64,418.85068345069885,0.9608559784471408,0.9572491301311631
8,8,3,128,242.46646332740784,0.9537504365744922,0.9501051770418081
8,8,5,16,2463.363326072693,0.9591706147053931,0.95478461380281
8,8,5,32,1303.0668971538544,0.9609896762124752,0.9517434900899152
8,8,5,64,711.3744797706604,0.9564711264196252,0.9534391031437021
8,8,5,128,418.92163825035095,0.9526390557143897,0.9522702415361561
8,8,7,16,3454.590307235718,0.9601544813343511,0.9539212816118147
8,8,7,32,1819.6093389987943,0.9637171148257518,0.956448319555171
8,8,7,64,1006.9865636825562,0.9582486902384957,0.9502440441208616
8,8,7,128,625.9675340652466,0.9564350090690191,0.9491909527385464
16,1,1,16,51.06541705131531,0.952062649426917,0.947411157208193
16,1,1,32,37.510666370391846,0.9338387962063808,0.9369307863872466
16,1,1,64,21.346900701522827,0.9051933971879811,0.9039182418783749
16,1,1,128,13.52283000946045,0.9210324647118091,0.9214906029155547
16,1,3,16,186.7345304489136,0.9596705668935265,0.9551481857959658
16,1,3,32,100.53509330749512,0.9398537300897595,0.9397795252606954
16,1,3,64,56.45300054550171,0.946284713634003,0.9442811787501051
16,1,3,128,37.38400840759277,0.9407110237522612,0.94091406119195
16,1,5,16,309.5164155960083,0.9595693009283124,0.9531407176907727
16,1,5,32,168.32680106163025,0.9504227409056711,0.946843068078181
16,1,5,64,96.23447799682616,0.9502314297963871,0.9471301536033195
16,1,5,128,67.4142861366272,0.9322196389284132,0.9381936058622824
16,1,7,16,428.5588867664337,0.958842569282337,0.9553974582944136
16,1,7,32,278.27629947662354,0.9592952284846368,0.9526966866223948
16,1,7,64,168.19585037231445,0.9528930016980379,0.9496846422343872
16,1,7,128,135.08514833450317,0.9257181741223665,0.9352711970501562
16,2,1,16,179.16007494926453,0.9477883999789976,0.9458284471088829
16,2,1,32,90.10303330421448,0.9614543381680336,0.9563990730268526
16,2,1,64,52.98125505447388,0.9415896958989918,0.9378922962756742
16,2,1,128,31.2862811088562,0.9373099695574016,0.939782856603516
16,2,3,16,393.94338512420654,0.9636273105961397,0.9540405059333777
16,2,3,32,201.8985240459442,0.9634210815967599,0.9564909731902506
16,2,3,64,120.61901998519896,0.9530534692674251,0.9473873636996679
16,2,3,128,79.32492208480835,0.9506425015639752,0.9484546030052523
16,2,5,16,642.3049795627594,0.9458032727053756,0.9415992019739051
16,2,5,32,338.9780602455139,0.9187687538712991,0.9167233187108679
16,2,5,64,196.50539326667783,0.9563822262060939,0.9505836221097174
16,2,5,128,124.08542323112488,0.9579662606684497,0.9527093244289674
16,2,7,16,879.9350848197937,0.9545918090399924,0.9502947919168895
16,2,7,32,487.84155917167664,0.9608017261370704,0.9559273985217793
16,2,7,64,274.9091477394104,0.9512581272998204,0.9482863090077984
16,2,7,128,180.65260076522827,0.9561065461088559,0.9504091603241805
16,4,1,16,262.25765228271484,0.9520871867887086,0.9501346017498826
16,4,1,32,141.03875708580017,0.9584203104329941,0.9535601249607241
16,4,1,64,78.89210534095764,0.9577864275799407,0.9511448263686733
16,4,1,128,50.71672344207764,0.9533030446650996,0.9484926777852438
16,4,3,16,756.456146478653,0.9554544985709569,0.9480610669958172
16,4,3,32,404.14918851852417,0.9646737215735021,0.9564381827841226
16,4,3,64,226.55333352088928,0.961906808687137,0.9540540987157918
16,4,3,128,147.69007897377014,0.9609395823562203,0.9556559376145374
16,4,5,16,1263.4177997112274,0.9614870585285931,0.95671847544078
16,4,5,32,673.7216358184814,0.9548851457597477,0.9489023880213574
16,4,5,64,390.5429513454437,0.9588725841271817,0.9516322263453127
16,4,5,128,240.8039224147797,0.9563218158155646,0.9480305087741824
16,4,7,16,1764.5999147891998,0.928944895709579,0.9301732517541244
16,4,7,32,949.87056183815,0.962786389532448,0.9584675292169123
16,4,7,64,569.9025402069092,0.9498253680498946,0.9446401629405216
16,4,7,128,353.0219976902008,0.9589302389143872,0.9527227642871986
16,8,1,16,526.4394564628601,0.9452885896778517,0.9385544035104135
16,8,1,32,281.2217719554901,0.9571749355822483,0.953109029797679
16,8,1,64,156.91324186325073,0.9654922731569707,0.9580179770844931
16,8,1,128,96.57637977600098,0.9399827122193698,0.9317854995652799
16,8,3,16,1528.502824306488,0.9607488470417319,0.9530624191942325
16,8,3,32,809.2621111869812,0.959255149146706,0.9502398773611564
16,8,3,64,450.5357661247253,0.9599876131760781,0.955296661290026
16,8,3,128,294.70796728134155,0.9584164486934932,0.9535020168244086
16,8,5,16,2531.540566682816,0.9624147428324739,0.9585156879245124
16,8,5,32,1356.7599935531616,0.9499708581703622,0.9412049045462095
16,8,5,64,773.9722816944122,0.9626254361816957,0.9586505037462637
16,8,5,128,495.42075848579407,0.9557397391511413,0.9448528981907433
16,8,7,16,3576.327104330063,0.9553478253522512,0.9481679873546509
16,8,7,32,1888.221482038498,0.9609675914295581,0.9551411083537564
16,8,7,64,1123.0471305847168,0.9577101012203778,0.9521255084299305
16,8,7,128,731.8062653541565,0.5836326363183353,0.45963088706536226
32,1,1,16,76.64129090309143,0.9611639277331416,0.9576903907866315
32,1,1,32,42.47048902511597,0.9510536006944349,0.9482009361739392
32,1,1,64,25.952552318573,0.9445348520305303,0.940863696210375
32,1,1,128,19.641574382781982,0.9384214192684145,0.9344631445579625
32,1,3,16,203.5703060626984,0.9568280499061335,0.9510664762635486
32,1,3,32,114.41512966156006,0.9582972076178058,0.9518813166192142
32,1,3,64,76.09135007858276,0.9528861492474867,0.947760467897755
32,1,3,128,54.78422975540161,0.9450684528231664,0.9445492229657715
32,1,5,16,339.6089246273041,0.9627400794118676,0.9590915124074278
32,1,5,32,196.77707242965695,0.9575686520412966,0.9525899253659273
32,1,5,64,124.03520369529724,0.9539535509923656,0.9499809563740339
32,1,5,128,92.77180361747742,0.9477561256280196,0.9444270901000987
32,1,7,16,479.0818719863892,0.9568095832935073,0.955095404481127
32,1,7,32,285.462349653244,0.9458327575460965,0.9412811219947339
32,1,7,64,181.0295331478119,0.9571135577236729,0.9520024899990434
32,1,7,128,134.00074172019958,0.9456132049043846,0.9396567183998802
32,2,1,16,144.68998789787292,0.9650498551455853,0.9654957732809012
32,2,1,32,80.49569249153137,0.942072859452937,0.9401826726453495
32,2,1,64,48.98198342323303,0.955516772573319,0.9489948872819041
32,2,1,128,37.5405867099762,0.9423133079474036,0.93829630386662
32,2,3,16,406.1217262744904,0.954696506632456,0.9557723884723065
32,2,3,32,227.7857286930084,0.9479557700013154,0.947954053524349
32,2,3,64,150.85991978645325,0.9508475494291476,0.944560860534217
32,2,3,128,107.00977516174316,0.9579067147328109,0.9491289431811887
32,2,5,16,675.3790798187256,0.9421182336387337,0.9471430774927951
32,2,5,32,395.4846525192261,0.9639083147434651,0.9619702988303849
32,2,5,64,241.1734652519226,0.9635338113799118,0.958047580766889
32,2,5,128,183.91738390922544,0.9356415222849783,0.93019953658074
32,2,7,16,949.8058743476868,0.964004407202954,0.9641666500355223
32,2,7,32,553.2149147987366,0.9633890248388327,0.9624509673595807
32,2,7,64,351.6985833644867,0.9531349966117848,0.9485582725371812
32,2,7,128,258.68202114105225,0.9557607241647001,0.9483104340473947
32,4,1,16,285.99273920059204,0.956126963612233,0.9551066044072136
32,4,1,32,158.7490432262421,0.962684456210594,0.9616892726105477
32,4,1,64,97.17604637145996,0.9455933344699254,0.9410632150833436
32,4,1,128,72.99888586997986,0.9529856270769387,0.9471290226323349
32,4,3,16,816.8469972610474,0.9665209229038554,0.9667990188334283
32,4,3,32,457.92241621017456,0.9649397884648983,0.9629347785632233
32,4,3,64,292.40132999420166,0.9560327236959018,0.9538806025744548
32,4,3,128,217.6787452697754,0.9627915420633603,0.9569903162952949
32,4,5,16,1355.1996335983276,0.9641314425321802,0.966709253339517
32,4,5,32,776.625529050827,0.9640103488778738,0.9645324149625716
32,4,5,64,492.1488034725189,0.961915902681261,0.957503953863921
32,4,5,128,367.750791311264,0.9611834105853431,0.9518829961921487
32,4,7,16,1889.149781942368,0.9678644726587693,0.9694601940410849
32,4,7,32,1097.6953587532043,0.9630149848663159,0.9642258395826726
32,4,7,64,694.894953250885,0.9644740530005496,0.9615788410623071
32,4,7,128,537.7636156082153,0.9589265471154055,0.9497202038626735
32,8,1,16,575.7440268993378,0.9594396144903372,0.9577545422109747
32,8,1,32,319.49470591545105,0.9605920015283625,0.956710510171015
32,8,1,64,192.09416246414185,0.9549118872071605,0.9452025452934862
32,8,1,128,144.00881218910217,0.9452945876889499,0.9351576438952631
32,8,3,16,1642.2269613742828,0.9480937051217658,0.9501392925370103
32,8,3,32,913.4726898670197,0.9589734886486657,0.9554917560682672
32,8,3,64,582.3713014125824,0.9645498875699743,0.958168701396264
32,8,3,128,446.2052049636841,0.9623836153692698,0.9536634814732344
32,8,5,16,2715.2274181842804,0.959667792053987,0.9602807296453861
32,8,5,32,1773.5594782829285,0.9555413330155194,0.9510976813268966
32,8,5,64,1143.1511478424072,0.9619349592332139,0.9611943310960164
32,8,5,128,852.5513832569122,0.9574227766545429,0.9522417979840685
32,8,7,16,4244.073437213898,0.9511682589948974,0.948065114288017
32,8,7,32,2553.430302143097,0.964589284475326,0.95769314489467
32,8,7,64,1527.4181997776031,0.9617192798305647,0.9595244476216576
32,8,7,128,1172.345717906952,0.3258079647933282,0.42489753153020926
64,1,1,16,92.21860647201538,0.9601590932927127,0.9593655721463068
64,1,1,32,55.9774284362793,0.9423374992433983,0.9439610788779063
64,1,1,64,39.63297986984253,0.9550519591927025,0.9508572071344674
64,1,1,128,30.33618140220642,0.9451013570302473,0.940419171841163
